n : 44

Crit : 5

S : [
5910.00	4.1	56	81.19	17.87
5910.00	3.4	56	81.19	17.87
2640.00	8.0	90	100.00	2.50
3650.00	6.2	40	57.22	14.34
3790.00	4.3	65	81.00	10.41
5500.00	5.1	65	55.15	5.28
5470.00	4.9	65	55.15	5.28
3530.00	6.6	65	56.00	6.58
3550.00	7.0	65	56.00	6.58
5100.00	4.9	65	55.15	5.28
5680.00	4.3	76	40.08	4.68
3070.00	6.5	40	39.00	12.04
4210.00	5.5	86	18.13	6.67
5830.00	4.2	65	40.08	4.68
6110.00	6.4	65	4.18	0.00
4710.00	6.0	40	46.20	3.20
5000.00	7.0	71	16.86	0.70
4120.00	4.9	56	74.00	2.60
4790.00	3.9	90	37.27	2.88
5770.00	5.5	70	10.00	0.00
3470.00	5.9	76	17.79	4.56
6180.00	5.1	70	3.00	0.00
3440.00	6.2	40	55.00	3.44
3440.00	6.3	76	13.46	3.39
3888.00	5.2	45	83.99	0.19
3430.00	5.4	65	30.05	5.10
6160.00	4.5	65	12.00	0.00
3460.00	5.9	65	25.00	2.40
3610.00	6.5	40	15.45	4.50
3450.00	4.4	65	30.05	5.07
4090.00	3.8	65	40.08	3.40
3560.00	5.3	56	25.60	2.83
3020.00	5.3	65	25.60	2.80
5750.00	4.1	65	1.00	0.00
6240.00	3.8	55	4.18	0.00
4780.00	4.2	56	25.75	0.63
4650.00	3.7	40	37.27	2.90
3130.00	4.8	40	41.00	3.83
5930.00	3.9	36	14.95	0.44
3450.00	5.0	40	15.45	4.51
4710.00	4.4	36	25.75	0.63
3410.00	4.9	40	25.60	2.80
3290.00	5.9	40	11.00	0.80
3470.00	4.6	56	6.54	0.40
]
